end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-03-15,648.0,0.17160339743606806,0.00035151195680948363,0.0010466911362853849,0.061427224693289116,0.01,0.008645629035962327,0.172,1280.0,429.0,7.0,0.009998783802173176,1376639815.0,1376807262.0
2020-03-16,662.3333333333334,0.13238676313559655,0.0002462166533680018,0.0010919906456802828,0.058426275617456176,0.013333333333333334,0.008001078937311017,0.13266666666666665,5343.0,421.0,7.666666666666667,0.01333148189045505,1376623992.3333333,1376807262.0
2020-03-17,676.6666666666666,0.09317012883512507,0.00014092134992651999,0.0011372901550751806,0.05542532654162324,0.016666666666666666,0.007356528838659706,0.09333333333333332,9406.0,413.0,8.333333333333334,0.016664179978736923,1376608169.6666667,1376807262.0
2020-03-18,691.0,0.053953494534653576,3.5626046485038164e-05,0.0011825896644700785,0.0524243774657903,0.02,0.006711978740008395,0.054,13469.0,405.0,9.0,0.019996878067018796,1376592347.0,1376807262.0
2020-03-19,1236.0,0.43895799408885977,0.00033148410399583283,0.002224816120524445,0.09852203760981798,0.01,0.008708185520700696,0.439,2589.0,385.0,8.0,0.03332682805581154,1376562469.0,1376807262.0
2020-03-20,748.5,0.2560955318419287,0.00018794220851768692,0.0016862690172196968,0.05886703764034231,0.034999999999999996,0.006711805935907974,0.256,3335.5,271.0,8.5,0.04665677804460428,1376532591.0,1376807262.0
2020-03-21,261.0,0.07323306959499763,4.4400313039541034e-05,0.0011477219139149485,0.019212037670866638,0.06,0.0047154263511152514,0.073,4082.0,157.0,9.0,0.059986728033397024,1376502713.0,1376807262.0
2020-03-22,563.0,0.05473525173591305,0.00010761455414402806,0.0046936063352895395,0.043318266409680145,0.08333333333333333,0.0043735658497581495,0.05466666666666667,3875.3333333333335,127.33333333333333,8.666666666666666,0.08331133051020567,1376464908.6666667,1376807262.0
2020-03-23,865.0,0.03623743387682846,0.00017082879524851508,0.008239490756664131,0.06742449514849365,0.10666666666666666,0.0040317053484010485,0.036333333333333336,3668.6666666666665,97.66666666666666,8.333333333333334,0.10663593298701432,1376427104.3333333,1376807262.0
2020-03-24,1167.0,0.017739616017743876,0.00023404303635300212,0.011785375178038722,0.09153072388730717,0.13,0.0036898448470439466,0.018,3462.0,68.0,8.0,0.12996053546382297,1376389300.0,1376807262.0
2020-03-25,1190.0,0.030364006793882882,0.0003276354478289613,0.012043622638802364,0.09979763082917918,0.12000000000000001,0.007373610360700635,0.03066666666666667,2863.6666666666665,68.0,7.666666666666667,0.11995932637665009,1376330857.0,1376807262.0
