end_date,tau,theta,kappa,rho,sigma,R0,score,alpha1,1/alpha2,1/beta,1/gamma,Re,susceptibles,total_population
2020-03-27,858.0,0.0015331996503230062,0.0009716772584689522,0.06477867128680126,0.006603234759761588,8.54,0.7657742051315553,0.002,613.0,9.0,90.0,7.9656738676037175,8228709.0,8822000.0
2020-03-28,806.1111111111111,0.004718853826756471,0.0007833476496671581,0.05774078407516907,0.0069123502105190434,7.564444444444444,0.6141022224015316,0.005000000000000001,999.0,9.555555555555555,81.77777777777777,6.732098889140784,8165676.333333333,8822000.0
2020-03-29,754.2222222222223,0.007904508003189935,0.0005950180408653639,0.050702896863536885,0.007221465661276498,6.588888888888889,0.4624302396715078,0.008,1385.0,10.11111111111111,73.55555555555556,5.49852391067785,8102643.666666667,8822000.0
2020-03-30,702.3333333333334,0.0110901621796234,0.00040668843206356986,0.043665009651904695,0.007530581112033953,5.613333333333333,0.31075825694148407,0.011000000000000001,1771.0,10.666666666666666,65.33333333333333,4.264948932214917,8039611.0,8822000.0
2020-03-31,787.5,0.012285975857534725,0.0003405652949458503,0.05646607882181111,0.007921903973261157,6.720999999999999,0.6692597524832711,0.012300000000000002,2569.4,9.3,69.9,6.662673536613013,7964513.0,8822000.0
2020-04-01,676.25,0.01783887616330123,0.00023425403757183587,0.041634533538465864,0.011193464955062534,4.2555,0.38525369305766116,0.01765,2817.7,11.65,48.45,4.123536248583088,7886605.0,8822000.0
2020-04-02,565.0,0.02339177646906774,0.00012794278019782142,0.02680298825512062,0.014465025936863912,1.79,0.10124763363205122,0.023,3066.0,14.0,27.0,1.5843989605531625,7808697.0,8822000.0
2020-04-03,1078.5,0.0252366183814998,0.0002519530986209486,0.05670458585863388,0.023530772058763867,2.33,0.2532803322201948,0.025500000000000002,9262.0,12.5,31.5,2.1106166436182274,7726083.0,8822000.0
2020-04-04,809.7,0.013344733868526928,0.0006823955706796633,0.0359668349680546,0.02186563831397636,1.5839999999999999,0.10999949605130528,0.013300000000000001,1406.3,15.1,25.5,1.4318611896395377,7637984.0,8822000.0
2020-04-05,818.0,0.017714688614634544,0.00019872836688488474,0.030183975804777368,0.024063542266983123,1.095,0.09492079638312644,0.018000000000000002,8261.5,20.5,22.5,0.7531057356608478,7549885.0,8822000.0
2020-04-06,486.0,0.03313737652948741,5.78320786830491e-05,0.018672827758619327,0.014756351339363543,1.22,0.10621173153268652,0.033,5835.0,18.0,22.0,1.0339851258218091,7476899.0,8822000.0
2020-04-07,1244.5,0.035585325423155456,0.0002530391511937932,0.04040316179991382,0.04213701189899938,0.92,0.06599422076519121,0.035500000000000004,5377.0,21.0,20.0,0.7712799455905691,7395904.0,8822000.0
2020-04-08,690.0,0.011130941559771767,0.0008543617622335862,0.016572683622102017,0.029133983939231407,0.55,0.029112792098515163,0.011,560.0,28.0,16.0,0.4557915211970075,7310896.0,8822000.0
2020-04-09,826.6666666666666,0.042099544762086626,0.0004968868896093208,0.02116035658202636,0.03366353430128691,0.6333333333333334,0.07028262221037666,0.042,4703.333333333333,26.666666666666668,17.666666666666668,0.5734136250283383,7226650.0,8822000.0
2020-04-10,809.0,0.028662297368253944,0.0006048465594051023,0.02096530475402284,0.030230333972838058,0.66,0.08788807273648847,0.029,928.0,26.0,18.0,0.533437481296758,7130281.0,8822000.0
2020-04-11,999.0,0.042720667991099616,0.0008938040902752035,0.02649497304264726,0.05223602929289782,0.47,0.06356243687572086,0.042499999999999996,778.0,25.5,12.5,0.33566131489458173,7050486.0,8822000.0
2020-04-12,1114.5,0.06154149434944213,0.00042509487380223965,0.026557808442210274,0.05507991293229478,0.45,0.04694629596615385,0.0615,3114.5,28.5,14.0,0.34789625935162094,6975320.0,8822000.0
2020-04-13,990.5,0.026737999951840674,0.0011164578734404935,0.02394057652481521,0.050303074362529884,0.455,0.0341730999439267,0.027,711.5,28.5,13.0,0.35219972795284515,6904680.0,8822000.0
2020-04-14,930.375,0.06267651286115211,0.00040974611297363734,0.023130747353604115,0.052015383980844244,0.41375,0.038064860078605635,0.06275,6047.0,27.5,12.0,0.31039709816368166,6845808.0,8822000.0
2020-04-15,980.125,0.06653046198736018,0.0005504968402882273,0.023005583785645982,0.054093883371567814,0.39125,0.04529325931951718,0.06649999999999999,5405.125,29.25,12.0,0.2780470939129449,6757580.5,8822000.0
2020-04-16,1039.375,0.06999103490445603,0.00046681250583715216,0.023882718994529976,0.05776043437868981,0.38249999999999995,0.039952837374728406,0.07,3656.25,30.375,12.125,0.2456970896622081,6669353.0,8822000.0
2020-04-17,843.5555555555555,0.06278974693811895,0.0005178881601930295,0.0164023117131673,0.047934957187980735,0.32222222222222224,0.04951513300698848,0.06288888888888888,2710.8888888888887,35.44444444444444,11.777777777777779,0.24620233167082295,6581809.0,8822000.0
2020-04-18,1008.8181818181819,0.08206079671595981,0.0004072200056760631,0.018748697082909136,0.05805691905871913,0.29454545454545455,0.048196100540393534,0.08209090909090909,8393.727272727272,37.54545454545455,11.545454545454545,0.18132488834731353,6501215.0,8822000.0
2020-04-19,801.0,0.11991247004578806,2.193132107983571e-05,0.014009614396475578,0.07702113831144707,0.16,0.015503603946954712,0.12,25363.0,39.0,7.0,0.11644744502380412,6420621.0,8822000.0
2020-04-20,1059.6923076923076,0.09785367309154137,0.0004458677707263062,0.017535416478492907,0.07244112134643652,0.21615384615384617,0.06555395927719379,0.09784615384615385,8432.23076923077,41.84615384615385,9.615384615384615,0.13675479369757426,6349741.0,8822000.0
2020-04-21,969.3125,0.07565330708539288,0.0008731252154137389,0.015560294916241335,0.06552373900744572,0.21499999999999997,0.05628434457180619,0.075625,1393.0625,43.75,9.6875,0.17065183405123555,6272877.0,8822000.0
2020-04-22,1015.0,0.1058207041478453,0.0002987333458098105,0.01757045032099807,0.06558196489527675,0.23777777777777775,0.06265686229591644,0.10572222222222223,4806.944444444444,40.111111111111114,10.222222222222221,0.12646193606891862,6198040.0,8822000.0
2020-04-23,1035.7,0.11639777198561223,0.0003228130404209483,0.016587536536270674,0.06819539297407148,0.21400000000000002,0.060615957600859395,0.11639999999999999,4462.6,43.3,10.0,0.13165856381772842,6113115.0,8822000.0
2020-04-24,956.4166666666666,0.1112291568360177,0.0005019373245202171,0.014327754452638878,0.06334425636650204,0.20083333333333334,0.05815701937800744,0.11124999999999997,4235.666666666667,46.083333333333336,10.083333333333334,0.13635202845159827,6019184.5,8822000.0
2020-04-25,773.5555555555555,0.11428096778991582,0.0004567440798565051,0.012428906310702335,0.054179444586189174,0.2011111111111111,0.04503587988386554,0.11422222222222222,2867.6666666666665,43.22222222222222,9.666666666666666,0.14104549308546815,5925254.0,8822000.0
